"company_name","city","state","zip","agency","certification_type","ethnicity","commodity_code"
"Chicago Cut Concrete Cutting Inc.","Schaumburg","IL",60193,"Chicago","WBE","Caucasian","238910 - Core drilling and test boring for construction; 238990 - Concrete sawing and drilling (except demolition)"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","WBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","MBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","WBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","MBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","WBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","MBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","WBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","MBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","WBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","MBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","WBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","MBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","WBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","MBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","WBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","MBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","WBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","MBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","WBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Enclosures","Melrose Park","IL",60160,"Cook County","MBE","Hispanic American","332322 - Sheet Metal Work Manufacturing; 3329 - Other Fabricated Metal Product Manufacturing"
"Chicago Fire Detection Systems","Orland Park","IL",60467,"Chicago","MBE","Hispanic/Latino","561621 - Fire alarm sales combined with installation, repair, or monitoring services"
"Chicago Fire Detection Systems","Orland Park","IL",60467,"Chicago","MBE","Hispanic/Latino","561621 - Fire alarm sales combined with installation, repair, or monitoring services"
"Chicago Homes Realty Group","Chicago","IL",60616,"Chicago","WBE","African American","531210 - Offices of Real Estate Agents and Brokers; 531311 - Residential Property Managers; 531312 - Nonresidential property managing"
"Chicago Homes Realty Group","Chicago","IL",60616,"Chicago","MBE","African American","531210 - Offices of Real Estate Agents and Brokers; 531311 - Residential Property Managers; 531312 - Nonresidential property managing"
"Chicago Homes Realty Group","Chicago","IL",60616,"Chicago","WBE","African American","531210 - Offices of Real Estate Agents and Brokers; 531311 - Residential Property Managers; 531312 - Nonresidential property managing"
"Chicago Homes Realty Group","Chicago","IL",60616,"Chicago","MBE","African American","531210 - Offices of Real Estate Agents and Brokers; 531311 - Residential Property Managers; 531312 - Nonresidential property managing"
"Chicago Jack Service, Inc.","BROADVIEW","IL",60155,"Chicago","WBE","Caucasian","423830 - Industrial Machinery and Equipment Merchant Wholesalers; 811310 - Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance"
"Chicago Office Movers, Inc.","Elk Grove Village","IL",60007,"Chicago","MBE","Hispanic/Latino","484110 - Container trucking services, local; 484210 - Trucking used household, office, or institutional furniture and equipment; 484210 - Used household and office goods moving; 493110 - General warehousing and storage"
"City-Suburban Construction LLC","Chicago","IL",60649,"Chicago","WBE","African American","561720 - Janitorial services"
"City-Suburban Construction LLC","Chicago","IL",60649,"Chicago","MBE","African American","561720 - Janitorial services"
"Chicago Ornamental Iron, Inc.","Chicago","IL",60609,"Chicago","MBE","Hispanic/Latino","238120 - Iron work, structural, contractors; 238150 - Curtain wall, glass, installation; 238190 - Other Foundation, Structure, and Building Exterior Contractors; 332312 - Fabricated structural metal manufacturing; 332313 - Plate Work Manufacturing; 332321 - Metal Window and Door Manufacturing; 332322 - Sheet metal work (except stampings) manufacturing; 332323 - Fences and gates (except wire), metal, manufacturing"
"Chicago Pipe & Boiler Covering Co.","Sugar Grove","IL",60554,"Chicago","MBE","Hispanic/Latino","238220 - HVAC (heating, ventilation and air-conditioning) contractors; 238290 - Boiler and pipe insulation installation; 238290 - Boiler covering installation"
"Chicago Pipe & Boiler Covering Co.","Sugar Grove","IL",60554,"Chicago","MBE","Hispanic/Latino","238220 - HVAC (heating, ventilation and air-conditioning) contractors; 238290 - Boiler and pipe insulation installation; 238290 - Boiler covering installation"
"Chicago Scaffolding, Inc.","Chicago","IL",60603,"Chicago","MBE","Asian American","238990 - Scaffold erecting and dismantling"
"Chicago Voice And Data Authority Corp.","Chicago","IL",60608,"Cook County","WBE","Hispanic American","237130 - Cable laying (e.g., cable television, electricity, marine, telephone), including underground; 238210 - Electrical contractors; 238990 - Cable splicing (except electrical or fiber optic); 541618 - Telecommunications management consulting services; 811213 - Communication Equipment Repair and Maintenance"
"Chicago Voice And Data Authority Corp.","Chicago","IL",60608,"Cook County","MBE","Hispanic American","237130 - Cable laying (e.g., cable television, electricity, marine, telephone), including underground; 238210 - Electrical contractors; 238990 - Cable splicing (except electrical or fiber optic); 541618 - Telecommunications management consulting services; 811213 - Communication Equipment Repair and Maintenance"
"Chicago Voice And Data Authority Corp.","Chicago","IL",60608,"Cook County","WBE","Hispanic American","237130 - Cable laying (e.g., cable television, electricity, marine, telephone), including underground; 238210 - Electrical contractors; 238990 - Cable splicing (except electrical or fiber optic); 541618 - Telecommunications management consulting services; 811213 - Communication Equipment Repair and Maintenance"
